artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename,SAG
Charles M. Russell,1912.0,genre painting,1002.0,912.0,826881.0,wikiart,낭만주의,Single Handed ,train_and_test,False,95312.jpg,Romanticism||Charles M. Russell||genre painting
Raphael Kirchner,,design,600.0,898.0,94336.0,wikiart,아르누보,Stained Glass Art,train_and_test,False,85974.jpg,Art Nouveau (Modern)||Raphael Kirchner||design
Francisco de Zurbaran,1640,religious painting,2024.0,2948.0,342355.0,wikiart,바로크 양식,St. Jerome with St. Paula and St. Eustochium,test_only,False,74035.jpg,Baroque||Francisco de Zurbaran||religious painting
Raphael Kirchner,1904.0,design,357.0,548.0,26503.0,wikiart,아르누보,Smoking Women,train_and_test,False,64550.jpg,Art Nouveau (Modern)||Raphael Kirchner||design
Canaletto,,veduta,1120.0,671.0,152387.0,wikiart,바로크 양식,Campo Sant Angelo,train_and_test,False,61973.jpg,Baroque||Canaletto||veduta
Ivan Shishkin,1874.0,landscape,655.0,1000.0,200765.0,wikiart,사실주의,Forest Landscape,train_and_test,False,101225.jpg,Realism||Ivan Shishkin||landscape
Carl Larsson,1906,genre painting,4000.0,2654.0,4348362.0,wikiart,아르누보,Model Writing Postcards,train_and_test,False,23250.jpg,Art Nouveau (Modern)||Carl Larsson||genre painting
Jan Matejko,,portrait,513.0,800.0,97239.0,wikiart,낭만주의,Peter Moszynski,train_and_test,False,38146.jpg,Romanticism||Jan Matejko||portrait
Pablo Picasso,1942,genre painting,1088.0,789.0,396609.0,wikiart,초현실주의,The serenade,train_and_test,False,80076.jpg,Surrealism||Pablo Picasso||genre painting
Juan de Valdes Leal,c.1658,religious painting,473.0,530.0,320573.0,wikiart,바로크 양식,Pietà,test_only,False,46526.jpg,Baroque||Juan de Valdes Leal||religious painting
Boris Kustodiev,1914.0,genre painting,1000.0,738.0,225051.0,wikiart,아르누보,Village  Holiday (Autumn holiday in the village),train_and_test,False,84009.jpg,Art Nouveau (Modern)||Boris Kustodiev||genre painting
John Singer Sargent,1876,portrait,784.0,951.0,101189.0,wikiart,사실주의,Young Man in Reverie,train_and_test,False,49187.jpg,Realism||John Singer Sargent||portrait
Ford Madox Brown,c.1844,sketch and study,1680.0,2409.0,707860.0,wikiart,낭만주의,"The Spirit of Justice, study for the head of a Counsellor",test_only,False,37600.jpg,Romanticism||Ford Madox Brown||sketch and study
James Tissot,1889,sketch and study,621.0,768.0,146086.0,wikiart,사실주의,The Round Stone Seen from the Interior,train_and_test,False,59624.jpg,Realism||James Tissot||sketch and study
James Tissot,1860,genre painting,853.0,1109.0,306260.0,wikiart,사실주의,During the Service,train_and_test,False,54386.jpg,Realism||James Tissot||genre painting
Jan Matejko,1874.0,history painting,800.0,403.0,141423.0,wikipedia,낭만주의,Hanging of the Sigismund bell at the cathedral tower in 1521 in Kraków ,train_and_test,False,46974.jpg,Romanticism||Jan Matejko||history painting
George Morland,,genre painting,800.0,669.0,78756.0,wikiart,로코코 양식,Door of a Village Inn,train_and_test,False,9774.jpg,Rococo||George Morland||genre painting
Charles Turner,1819.0,portrait,557.0,800.0,115927.0,wikiart,낭만주의,James Laing ,train_and_test,False,42635.jpg,Romanticism||Charles Turner||portrait
T. C. Steele,1887,landscape,1021.0,663.0,124841.0,wikiart,인상주의,Pleasant Run,train_and_test,False,71879.jpg,Impressionism||T. C. Steele||landscape
Tom Roberts,1883.0,portrait,887.0,1170.0,472026.0,wikiart,인상주의,Una Muchacha (A Girl) ,test_only,False,3260.jpg,Impressionism||Tom Roberts||portrait
Thomas Gainsborough,1754,portrait,897.0,933.0,246022.0,wikiart,로코코 양식,"Mr. and Mrs. John Gravenor and their Daughters, Elizabeth and Ann ",train_and_test,False,75629.jpg,Rococo||Thomas Gainsborough||portrait
Kathe Kollwitz,1923.0,genre painting,758.0,1738.0,178523.0,wikiart,표현주의,Old Man with Noose,train_and_test,False,15287.jpg,Expressionism||Kathe Kollwitz||genre painting
Gustave Dore,,illustration,776.0,1000.0,242744.0,wikiart,낭만주의,Cinderella,train_and_test,False,59557.jpg,Romanticism||Gustave Dore||illustration
Albrecht Durer,,religious painting,1576.0,2145.0,481020.0,wikiart,북부 르네상스,Apostle Judas Thaddeus,train_and_test,False,19259.jpg,Northern Renaissance||Albrecht Durer||religious painting
Charles Turner,1820.0,portrait,583.0,800.0,149034.0,wikiart,낭만주의,Henry Bathurst ,train_and_test,False,42743.jpg,Romanticism||Charles Turner||portrait
Claude Monet,1908,cityscape,1923.0,1548.0,392812.0,wikiart,인상주의,The Palazzo Ducale,train_and_test,False,2407.jpg,Impressionism||Claude Monet||cityscape
Theodore Rousseau,1848,landscape,640.0,415.0,43399.0,wikiart,사실주의,The pond near the road,train_and_test,False,45845.jpg,Realism||Theodore Rousseau||landscape
Ernst Ludwig Kirchner,1927,genre painting,1152.0,1563.0,80164.0,wikipedia,표현주의,Group of artists,train_and_test,False,86635.jpg,Expressionism||Ernst Ludwig Kirchner||genre painting
Edgar Degas,1869,portrait,1869.0,1527.0,565640.0,wikiart,인상주의,"Madame Gobillard, Yves Morisot",train_and_test,False,102356.jpg,Impressionism||Edgar Degas||portrait
Toyen,1940.0,figurative,600.0,440.0,71695.0,wikiart,초현실주의,The Shooting Gallery V,train_and_test,False,58630.jpg,Surrealism||Toyen||figurative
Francisco Goya,1795,portrait,1256.0,1578.0,1312963.0,wikiart,낭만주의,Francisco Bayeu,train_and_test,False,36895.jpg,Romanticism||Francisco Goya||portrait
Alfred Sisley,1886,landscape,900.0,654.0,192417.0,wikiart,인상주의,The Loing at Moret,train_and_test,False,23044.jpg,Impressionism||Alfred Sisley||landscape
John Crome,,landscape,944.0,704.0,102066.0,wikiart,낭만주의,Mousehold Heath,train_and_test,False,21773.jpg,Romanticism||John Crome||landscape
Taras Shevchenko,1845.0,cityscape,1772.0,1264.0,2116385.0,wikiart,낭만주의,St. Michael`s church in Pereiaslav-Khmelnytskyi,train_and_test,False,45343.jpg,Romanticism||Taras Shevchenko||cityscape
Jacques Villon,1904.0,genre painting,592.0,847.0,165882.0,wikiart,아르누보,La Parisienne ,test_only,False,100279.jpg,Art Nouveau (Modern)||Jacques Villon||genre painting
Childe Hassam,1895,cityscape,1252.0,1024.0,2083525.0,wikiart,인상주의,Place Centrale and Fort Cabanas,train_and_test,False,432.jpg,Impressionism||Childe Hassam||cityscape
Peter Paul Rubens,1615,religious painting,810.0,1055.0,130688.0,wikiart,바로크 양식,The Holy Family with St. Elizabeth,train_and_test,False,69976.jpg,Baroque||Peter Paul Rubens||religious painting
Isaac Levitan,c.1894,landscape,1075.0,615.0,68412.0,wikiart,사실주의,Autumn Landscape,train_and_test,False,14926.jpg,Realism||Isaac Levitan||landscape
Mary Cassatt,,portrait,1009.0,714.0,161441.0,wikiart,인상주의,Girl`s Head Green Background,train_and_test,False,8534.jpg,Impressionism||Mary Cassatt||portrait
Paul Delvaux,,portrait,530.0,614.0,85276.0,wikiart,초현실주의,At the Door,train_and_test,False,4659.jpg,Surrealism||Paul Delvaux||portrait
Martiros Saryan,1963,portrait,800.0,682.0,150792.0,wikiart,표현주의,Portrait of Katarine Saryan,train_and_test,False,95155.jpg,Expressionism||Martiros Saryan||portrait
Pietro Longhi,,genre painting,2536.0,3187.0,463757.0,wikiart,로코코 양식,Women Sewing ,train_and_test,False,91841.jpg,Rococo||Pietro Longhi||genre painting
Tom Thomson,1917.0,landscape,581.0,514.0,114152.0,wikiart,아르누보,Maple Saplings,test_only,False,38044.jpg,Art Nouveau (Modern)||Tom Thomson||landscape
Caspar David Friedrich,1820,landscape,1030.0,749.0,152398.0,wikiart,낭만주의,Drifting Clouds,train_and_test,False,74228.jpg,Romanticism||Caspar David Friedrich||landscape
Edward Burne-Jones,,literary painting,800.0,600.0,198838.0,wikiart,낭만주의,The Briar Wood,train_and_test,False,93374.jpg,Romanticism||Edward Burne-Jones||literary painting
Francisco Goya,,portrait,589.0,766.0,24958.0,wikiart,낭만주의,"Portrait of Jose Antonio, Marques Caballero Kepmesa",train_and_test,False,33011.jpg,Romanticism||Francisco Goya||portrait
Nikolai Ge,1868,portrait,776.0,966.0,50691.0,wikiart,사실주의,Portrait of an Unknown Woman in a blue blouse,train_and_test,False,59632.jpg,Realism||Nikolai Ge||portrait
Ivan Aivazovsky,1844,marina,1048.0,686.0,96764.0,wikiart,낭만주의,Survivors,train_and_test,False,95681.jpg,Romanticism||Ivan Aivazovsky||marina
T. C. Steele,1884,landscape,1024.0,768.0,307618.0,wikiart,인상주의,Evening Poplars and Roadway near Schleissheim,train_and_test,False,55785.jpg,Impressionism||T. C. Steele||landscape
Gustave Dore,1852,religious painting,961.0,1210.0,295105.0,wikiart,낭만주의,"Abraham, God and Two Angels ",train_and_test,False,91143.jpg,Romanticism||Gustave Dore||religious painting
Martiros Saryan,1914,sketch and study,800.0,588.0,76056.0,wikiart,표현주의,Khor Virap,train_and_test,False,44334.jpg,Expressionism||Martiros Saryan||sketch and study
Claude Monet,1865,landscape,2048.0,1512.0,913578.0,wikiart,인상주의,"The Bodmer Oak, Fontainebleau",train_and_test,False,21685.jpg,Impressionism||Claude Monet||landscape
Pyotr Konchalovsky,1930,landscape,450.0,393.0,40599.0,wikiart,사실주의,Horse at the gate,train_and_test,False,84277.jpg,Realism||Pyotr Konchalovsky||landscape
John Singer Sargent,,sketch and study,761.0,979.0,337621.0,wikiart,사실주의,"Sketch for the Sorrowful Mysteries, The Carrying of the Cross. Head and Shoulders of a Man",train_and_test,False,68975.jpg,Realism||John Singer Sargent||sketch and study
Ivan Aivazovsky,1874,marina,1000.0,698.0,373318.0,wikiart,낭만주의,Bosphorus by Moonlight,train_and_test,False,2726.jpg,Romanticism||Ivan Aivazovsky||marina
Gustave Caillebotte,c.1880,still life,800.0,546.0,87354.0,wikiart,인상주의,Three Partridges on a Table,train_and_test,False,61724.jpg,Impressionism||Gustave Caillebotte||still life
Childe Hassam,1888,genre painting,1024.0,1163.0,271134.0,wikiart,인상주의,The Garden Door,train_and_test,False,71475.jpg,Impressionism||Childe Hassam||genre painting
Isaac Levitan,1896,sketch and study,1000.0,513.0,72633.0,wikiart,사실주의,Lake Ladoga,train_and_test,False,25248.jpg,Realism||Isaac Levitan||sketch and study
Ernst Ludwig Kirchner,,cityscape,1216.0,1088.0,78413.0,wikiart,표현주의,Leipziger Strasse with eletric train,train_and_test,False,88262.jpg,Expressionism||Ernst Ludwig Kirchner||cityscape
William Turner,c.1822,cityscape,781.0,1043.0,718921.0,wikiart,낭만주의,Norham Castle on the Tweed,train_and_test,False,98559.jpg,Romanticism||William Turner||cityscape
Konstantin Korovin,1909,design,1000.0,641.0,192307.0,wikiart,아르누보,Terem Dadon ,train_and_test,False,66823.jpg,Art Nouveau (Modern)||Konstantin Korovin||design
Philip de Laszlo,1898.0,portrait,406.0,600.0,58671.0,wikiart,인상주의,Empress Elisabeth of Austria,test_only,False,43983.jpg,Impressionism||Philip de Laszlo||portrait
Ivan Aivazovsky,1897,landscape,753.0,1000.0,113226.0,wikiart,낭만주의,Ships at the Feodosiya raid,train_and_test,False,73399.jpg,Romanticism||Ivan Aivazovsky||landscape
Raphael Kirchner,,portrait,589.0,800.0,52290.0,wikiart,아르누보,Green Lantern,train_and_test,False,64468.jpg,Art Nouveau (Modern)||Raphael Kirchner||portrait
Francesco Guardi,1775,veduta,1000.0,653.0,177726.0,wikiart,바로크 양식,Landscape with a Fisherman's,test_only,False,65326.jpg,Baroque||Francesco Guardi||veduta
Juan de Valdes Leal,1661,religious painting,816.0,1000.0,196850.0,wikiart,바로크 양식,Carrying the Cross,test_only,False,102230.jpg,Baroque||Juan de Valdes Leal||religious painting
Charles Willson Peale,1787.0,portrait,973.0,1280.0,568656.0,wikiart,로코코 양식,Mrs. Thomas Ellott (Mary Chase) ,train_and_test,False,36234.jpg,Rococo||Charles Willson Peale||portrait
Camille Corot,1842,landscape,1129.0,724.0,136689.0,wikiart,사실주의,"Landscape at Mornex, Haute Savoie",train_and_test,False,47786.jpg,Realism||Camille Corot||landscape
Aleksey Savrasov,1893,landscape,1000.0,753.0,132266.0,wikiart,사실주의,Early spring. Flood,train_and_test,False,37862.jpg,Realism||Aleksey Savrasov||landscape
Edgar Degas,c.1888,nude painting (nu),1080.0,781.0,232228.0,wikiart,인상주의,Woman Leaving Her Bath,train_and_test,False,85233.jpg,Impressionism||Edgar Degas||nude painting (nu)
Martiros Saryan,1937,landscape,1000.0,722.0,312942.0,wikiart,표현주의,July,train_and_test,False,47914.jpg,Expressionism||Martiros Saryan||landscape
Henri de Toulouse-Lautrec,1894,genre painting,541.0,750.0,84812.0,wikiart,아르누보,Alfred la Guigne,train_and_test,False,14938.jpg,Art Nouveau (Modern)||Henri de Toulouse-Lautrec||genre painting
Theodore Gericault,,animal painting,758.0,645.0,91412.0,wikiart,낭만주의,Study for Bay horse seen from behind,train_and_test,False,57696.jpg,Romanticism||Theodore Gericault||animal painting
Edouard Manet,1874,genre painting,647.0,411.0,27806.0,wikiart,인상주의,The Banks of the Seine at Argenteuil,train_and_test,False,67363.jpg,Impressionism||Edouard Manet||genre painting
Henry Herbert La Thangue,,landscape,944.0,837.0,150071.0,wikiart,인상주의,A Provençal Castle,train_and_test,False,21272.jpg,Impressionism||Henry Herbert La Thangue||landscape
Adriaen van de Velde,1672,cityscape,693.0,550.0,42744.0,wikiart,바로크 양식,View of the ancient castle of the Dukes of Burgundy in Brussels,test_only,False,79750.jpg,Baroque||Adriaen van de Velde||cityscape
Viktor Vasnetsov,1885.0,design,488.0,1000.0,75558.0,wikiart,낭만주의,Mizgir ,train_and_test,False,20925.jpg,Romanticism||Viktor Vasnetsov||design
Henri Matisse,,still life,1251.0,1922.0,276311.0,wikiart,표현주의,Still Life,train_and_test,False,66155.jpg,Expressionism||Henri Matisse||still life
Edouard Manet,1874,portrait,729.0,1121.0,127740.0,wikiart,인상주의,Parisienne Study of Ellen Andree,train_and_test,False,40036.jpg,Impressionism||Edouard Manet||portrait
Albrecht Durer,,portrait,1576.0,2248.0,524979.0,wikiart,북부 르네상스,Portrait of a Young Man ,train_and_test,False,6582.jpg,Northern Renaissance||Albrecht Durer||portrait
Alexey Venetsianov,,portrait,1400.0,2012.0,1798528.0,wikiart,사실주의,Girl in a Kerchief,train_and_test,False,22534.jpg,Realism||Alexey Venetsianov||portrait
John Jackson,1829.0,portrait,793.0,944.0,73355.0,wikiart,로코코 양식,"Thomas Stothard (1755–1834), RA ",test_only,False,17936.jpg,Rococo||John Jackson||portrait
Claude Monet,1878,landscape,1471.0,1200.0,647247.0,wikiart,인상주의,The Isle Grande-Jatte on the Siene,train_and_test,False,73230.jpg,Impressionism||Claude Monet||landscape
Franklin Carmichael,,landscape,500.0,436.0,58852.0,wikiart,아르누보,Autumn in the Northland,train_and_test,False,35835.jpg,Art Nouveau (Modern)||Franklin Carmichael||landscape
Bernardo Bellotto,c.1750,cityscape,3281.0,1766.0,2371549.0,wikiart,로코코 양식,"Dresden seen from right bank of the Elbe, below the Augustus Bridge",train_and_test,False,57630.jpg,Rococo||Bernardo Bellotto||cityscape
Victor Brauner,1957,symbolic painting,570.0,441.0,91031.0,wikiart,초현실주의,Les arbres,train_and_test,False,49970.jpg,Surrealism||Victor Brauner||symbolic painting
Charles M. Russell,1908.0,genre painting,1085.0,715.0,160402.0,wikiart,낭만주의,A Serious Predicament ,train_and_test,False,82947.jpg,Romanticism||Charles M. Russell||genre painting
Dante Gabriel Rossetti,1880,literary painting,3882.0,3426.0,8741918.0,wikiart,낭만주의,The Pia of Tolomei,train_and_test,False,16339.jpg,Romanticism||Dante Gabriel Rossetti||literary painting
Fyodor Vasilyev,1868.0,landscape,1000.0,718.0,177615.0,wikiart,사실주의,Landscape. Pargolovo,train_and_test,False,25743.jpg,Realism||Fyodor Vasilyev||landscape
Sidney Nolan,1950,landscape,1016.0,824.0,114070.0,wikiart,초현실주의,Inland Australia,test_only,False,62540.jpg,Surrealism||Sidney Nolan||landscape
Max Ernst,1934,illustration,1191.0,1518.0,399447.0,wikiart,초현실주의,"Illustration to ""A Week of Kindness""",train_and_test,False,49793.jpg,Surrealism||Max Ernst||illustration
Jacek Malczewski,1912,portrait,481.0,600.0,61034.0,wikiart,아르누보,Louis Zelenski,train_and_test,False,50035.jpg,Art Nouveau (Modern)||Jacek Malczewski||portrait
Louis Comfort Tiffany,1900.0,design,537.0,631.0,380753.0,wikiart,아르누보,Winter panel from the Four Seasons window ,train_and_test,False,58328.jpg,Art Nouveau (Modern)||Louis Comfort Tiffany||design
Edouard Manet,1877,portrait,857.0,1120.0,219975.0,wikipedia,인상주의,Nana,train_and_test,False,35133.jpg,Impressionism||Edouard Manet||portrait
Bernardo Bellotto,1748,cityscape,1616.0,900.0,161792.0,wikiart,로코코 양식,"Dresden from the Left Bank of the Elbe, Below the Fortification",train_and_test,False,81512.jpg,Rococo||Bernardo Bellotto||cityscape
Albrecht Altdorfer,,religious painting,1576.0,3177.0,649741.0,wikiart,북부 르네상스,Resurrection of Christ,train_and_test,False,38256.jpg,Northern Renaissance||Albrecht Altdorfer||religious painting
John Jackson,1823.0,portrait,663.0,800.0,40595.0,wikiart,로코코 양식,Samuel Prout ,test_only,False,9536.jpg,Rococo||John Jackson||portrait
William Merritt Chase,1902,landscape,1253.0,1024.0,304720.0,wikiart,인상주의,At the Boat Landing,train_and_test,False,34894.jpg,Impressionism||William Merritt Chase||landscape
Joan Miro,1972,abstract,1024.0,1450.0,335747.0,wikiart,초현실주의,"Femme, oiseaux devant le soleil",train_and_test,False,96697.jpg,Surrealism||Joan Miro||abstract
Johan Hendrik Weissenbruch,,landscape,1843.0,2500.0,2003036.0,wikiart,사실주의,The Mill,train_and_test,False,18412.jpg,Realism||Johan Hendrik Weissenbruch||landscape
Ivan Kramskoy,1871,portrait,1142.0,1600.0,349799.0,wikipedia,사실주의,Fyodor Vasilyev,train_and_test,False,28678.jpg,Realism||Ivan Kramskoy||portrait
Ivan Shishkin,,landscape,1000.0,607.0,124792.0,wikiart,사실주의,Distance,train_and_test,False,6134.jpg,Realism||Ivan Shishkin||landscape
George Romney,1778.0,portrait,746.0,944.0,84267.0,wikiart,로코코 양식,Joseph Allen (1713–1796) ,train_and_test,False,13098.jpg,Rococo||George Romney||portrait
John Ruskin,1855.0,landscape,1280.0,872.0,563551.0,wikiart,낭만주의,Fragment of the Alps ,train_and_test,False,69038.jpg,Romanticism||John Ruskin||landscape
Emil Nolde,,religious painting,857.0,973.0,199699.0,wikiart,표현주의,Crucifixion,train_and_test,False,52623.jpg,Expressionism||Emil Nolde||religious painting
Camille Corot,c.1870,portrait,764.0,1131.0,109787.0,wikiart,낭만주의,Dreamer at the Fountain,train_and_test,False,58178.jpg,Romanticism||Camille Corot||portrait
Edmund Dulac,,illustration,634.0,800.0,117498.0,wikiart,아르누보,The Snow Queen on the Throne of Ice,train_and_test,False,10180.jpg,Art Nouveau (Modern)||Edmund Dulac||illustration
Frans Snyders,1614,still life,1000.0,715.0,255956.0,wikiart,바로크 양식,Still Life,train_and_test,False,47865.jpg,Baroque||Frans Snyders||still life
Jan Matejko,1862.0,genre painting,800.0,595.0,110068.0,wikipedia,낭만주의,Stańczyk during a Ball at the Court of Queen,train_and_test,False,51345.jpg,Romanticism||Jan Matejko||genre painting
Salvador Dali,1974,symbolic painting,640.0,862.0,104877.0,wikiart,초현실주의,The Palace of the Wind,train_and_test,False,82209.jpg,Surrealism||Salvador Dali||symbolic painting
Raphael Kirchner,1902.0,design,600.0,915.0,96101.0,wikiart,아르누보,Girls with flowers at feet,train_and_test,False,62835.jpg,Art Nouveau (Modern)||Raphael Kirchner||design
David Teniers the Younger,c.1647,genre painting,1267.0,1000.0,230210.0,wikiart,바로크 양식,The Archduke Leopold Wilhelm in his Picture Gallery in Brussels,train_and_test,False,85259.jpg,Baroque||David Teniers the Younger||genre painting
Konstantin Yuon,,cityscape,450.0,336.0,72335.0,wikiart,사실주의,Sergiyev Posad,train_and_test,False,30441.jpg,Realism||Konstantin Yuon||cityscape
Hans Memling,1480,religious painting,776.0,2380.0,145291.0,wikiart,북부 르네상스,St. Christopher,train_and_test,False,98630.jpg,Northern Renaissance||Hans Memling||religious painting
Caspar David Friedrich,1826,landscape,809.0,1008.0,171844.0,wikiart,낭만주의,Graveyard under Snow,train_and_test,False,9052.jpg,Romanticism||Caspar David Friedrich||landscape
Chaim Soutine,c.1923,portrait,478.0,649.0,39937.0,wikiart,표현주의,Pastry Cook with Red Handkerchief,train_and_test,False,68015.jpg,Expressionism||Chaim Soutine||portrait
Frans Hals,,portrait,2024.0,2562.0,430344.0,wikiart,바로크 양식,The Rommel Pot Player,train_and_test,False,53750.jpg,Baroque||Frans Hals||portrait
John Jackson,,portrait,577.0,685.0,39435.0,wikiart,로코코 양식,Reverend Joseph Taylor (1752–1830),test_only,False,40295.jpg,Rococo||John Jackson||portrait
Ernst Ludwig Kirchner,1910,portrait,600.0,527.0,143479.0,wikiart,표현주의,Sitting Girl,train_and_test,False,44907.jpg,Expressionism||Ernst Ludwig Kirchner||portrait
Honore Daumier,1870,caricature,408.0,512.0,43379.0,wikiart,사실주의,Cuckoo! He's back,train_and_test,False,77988.jpg,Realism||Honore Daumier||caricature
Camille Corot,1860,landscape,980.0,656.0,161477.0,wikiart,사실주의,"Bologne sur Mer, View from the High Cliffs",train_and_test,False,64250.jpg,Realism||Camille Corot||landscape
