artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Jean-Paul Riopelle,1967.0,abstract,768.0,542.0,110664.0,wikiart,Abstract Expressionism,Constructions chimériques,train_and_test,True,47461.jpg
Arthur Pinajian,1984,landscape,649.0,499.0,92318.0,wikiart,Abstract Expressionism,"Untitled Landscape, Bellport (No.243)",train_and_test,False,76732.jpg
Cy Twombly,1985.0,abstract,600.0,805.0,87951.0,wikiart,Abstract Expressionism,Untitled  ,train_and_test,False,44543.jpg
Theodoros Stamos,1952.0,abstract,550.0,480.0,154999.0,wikiart,Abstract Expressionism,Beyond Emperors,train_and_test,True,86544.jpg
Jose Guerrero,1980.0,abstract,390.0,480.0,116763.0,wikiart,Abstract Expressionism,Litoral,train_only,True,59888.jpg
Sam Francis,1958,abstract,492.0,420.0,162150.0,wikiart,Abstract Expressionism,Towards Disappearance II,train_and_test,True,69918.jpg
Betty Parsons,1978.0,abstract,290.0,648.0,245878.0,wikiart,Abstract Expressionism,Going Up ,train_and_test,True,86461.jpg
Henri Matisse,1943,illustration,1508.0,996.0,125540.0,wikiart,Abstract Expressionism,The Lagoon 1,train_and_test,True,53769.jpg
Jose Guerrero,1966.0,abstract,826.0,1250.0,269515.0,wikiart,Abstract Expressionism,Black Whims with Yellow,train_only,True,99161.jpg
Cy Twombly,1955.0,abstract,650.0,518.0,185426.0,wikiart,Abstract Expressionism,Academy ,train_and_test,False,52239.jpg
John Ferren,1963.0,abstract,419.0,480.0,134877.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,14452.jpg
Sam Francis,1986,abstract,569.0,570.0,243534.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,81015.jpg
Friedel Dzubas,1981.0,abstract,469.0,570.0,209990.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,76509.jpg
Richard Pousette-Dart,1992,abstract,440.0,342.0,74721.0,wikiart,Abstract Expressionism,Bird in the Spring,train_and_test,True,69529.jpg
Jackson Pollock,,figurative,526.0,396.0,135044.0,wikiart,Abstract Expressionism,Untitled (O'Connor-Thaw 771),train_and_test,True,47328.jpg
Jose Guerrero,1982.0,abstract,419.0,570.0,103005.0,wikiart,Abstract Expressionism,Comienzo,train_only,True,52894.jpg
Louis Schanker,1968.0,abstract,570.0,473.0,237134.0,wikiart,Abstract Expressionism,Untitled abstract composition,train_and_test,True,35066.jpg
Andy Warhol,1984,abstract,490.0,570.0,135545.0,wikiart,Abstract Expressionism,Rorschach,train_and_test,False,15506.jpg
Nicolas Carone,2007,abstract,496.0,350.0,128599.0,wikiart,Abstract Expressionism,Shadow Dance,train_only,True,41422.jpg
Jock Macdonald,1957.0,,591.0,662.0,481152.0,wikiart,Abstract Expressionism,Primordial Fire,train_and_test,False,76144.jpg
Jimmy Ernst,1972,abstract,584.0,480.0,71100.0,wikiart,Abstract Expressionism,Twice,train_only,True,64614.jpg
Sam Francis,1987,abstract,430.0,570.0,201476.0,wikiart,Abstract Expressionism,Untitled #1,train_and_test,True,6030.jpg
Alvaro Lapa,,abstract,480.0,377.0,71942.0,wikiart,Abstract Expressionism,unknown title,train_and_test,True,33929.jpg
Kazuo Nakamura,1953.0,landscape,650.0,448.0,41691.0,wikiart,Abstract Expressionism,Watercolor,train_only,True,6453.jpg
Kazuo Nakamura,1963.0,landscape,1000.0,785.0,273252.0,wikiart,Abstract Expressionism,Blue Reflections,train_only,True,5474.jpg
George Stefanescu-Ramnic ,1997,abstract,629.0,800.0,714363.0,wikiart,Abstract Expressionism,Beginning and End,train_and_test,True,57946.jpg
Henri Matisse,1952,genre painting,758.0,535.0,35947.0,wikiart,Abstract Expressionism,Bather in the Reeds,train_and_test,False,73656.jpg
William Baziotes,1962,abstract,768.0,647.0,33152.0,wikiart,Abstract Expressionism,Opalescent,train_and_test,True,26874.jpg
Perle Fine,1948,abstract,566.0,800.0,153988.0,wikiart,Abstract Expressionism,Lair,test_only,False,78438.jpg
George Stefanescu-Ramnic ,1999,genre painting,815.0,800.0,602174.0,wikiart,Abstract Expressionism,Princess Ralu ,train_and_test,True,78243.jpg
Manabu Mabe,1985.0,abstract,550.0,409.0,72315.0,wikiart,Abstract Expressionism,Existência,train_only,True,50429.jpg
Alfred Jensen,1964,abstract,768.0,537.0,136532.0,wikiart,Abstract Expressionism,Hommage to Blake Prince (tirée de l'album «1 ø Life»),train_and_test,True,78138.jpg
Hans Hofmann,1963,abstract,1177.0,1600.0,310862.0,wikiart,Abstract Expressionism,Golden Autumn,test_only,False,80048.jpg
Jean-Paul Riopelle,,figurative,859.0,1204.0,780125.0,wikiart,Abstract Expressionism,Lithographie 1974,train_and_test,False,37351.jpg
George Stefanescu-Ramnic ,1997,symbolic painting,658.0,800.0,838317.0,wikiart,Abstract Expressionism,A Fantastical Butterfly,train_and_test,True,51612.jpg
Sam Francis,1972,abstract,512.0,399.0,197357.0,wikiart,Abstract Expressionism,Coral Lyre Nine,train_and_test,False,47440.jpg
Robert Nickle,1979.0,abstract,550.0,356.0,89803.0,wikiart,Abstract Expressionism,Untitled Collage,train_only,True,29976.jpg
Manabu Mabe,1970.0,abstract,556.0,570.0,177891.0,wikiart,Abstract Expressionism,Untitled,train_only,True,29865.jpg
Cy Twombly,1988.0,abstract,500.0,814.0,261570.0,wikiart,Abstract Expressionism,Untitled Part VI ,train_and_test,True,5427.jpg
Jackson Pollock,1946.0,abstract,531.0,450.0,97881.0,wikiart,Abstract Expressionism,Circumcision January,train_and_test,True,6931.jpg
Clyfford Still,1949,abstract,630.0,746.0,57352.0,wikiart,Abstract Expressionism,1949-A-No.1,train_only,True,812.jpg
Helen Frankenthaler,1950,abstract,762.0,800.0,298947.0,wikiart,Abstract Expressionism,Playa,train_and_test,True,70374.jpg
Sam Francis,1953,abstract,563.0,404.0,81240.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,37091.jpg
Conrad Marca-Relli,1970,abstract,475.0,360.0,52248.0,wikiart,Abstract Expressionism,Autumn Suite C,train_and_test,True,13766.jpg
Moshe Kupferman,1986,abstract,750.0,611.0,165046.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,80785.jpg
Joan Mitchell,1992,abstract,1200.0,779.0,286603.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,69775.jpg
Pol Bury,1962,abstract,552.0,570.0,161980.0,wikiart,Abstract Expressionism,Entité erectile,train_only,True,56771.jpg
Mark Tobey,,abstract,542.0,376.0,120297.0,wikiart,Abstract Expressionism,Untitled,train_only,True,32194.jpg
Lee Krasner,1948,abstract,335.0,500.0,222998.0,wikiart,Abstract Expressionism,Night Light,train_only,True,96785.jpg
Paul Guiragossian,1965.0,abstract,381.0,570.0,137183.0,wikiart,Abstract Expressionism,The Three Stages of Life,train_only,True,83647.jpg
Pedro Coronel,1958,symbolic painting,594.0,448.0,264993.0,wikiart,Abstract Expressionism,Still Life,train_only,True,17713.jpg
Robert Goodnough,1993.0,abstract,570.0,282.0,81247.0,wikiart,Abstract Expressionism,The Club,train_and_test,True,89835.jpg
Joan Mitchell,1971,abstract,545.0,850.0,150178.0,wikiart,Abstract Expressionism,The Lot,train_and_test,True,63642.jpg
Robert Goodnough,1980.0,abstract,474.0,570.0,102737.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,82095.jpg
Gunther Forg,1997.0,abstract,394.0,570.0,229282.0,wikiart,Abstract Expressionism,Untitled I,test_only,False,48865.jpg
Sam Francis,1977,abstract,512.0,383.0,109331.0,wikiart,Abstract Expressionism,Green Buddha,train_and_test,False,77572.jpg
Vasile Dobrian,1973.0,abstract,650.0,833.0,246362.0,wikiart,Abstract Expressionism,Hourglass I,train_and_test,False,53559.jpg
Friedel Dzubas,,abstract,442.0,570.0,192860.0,wikiart,Abstract Expressionism,GTW #14,train_and_test,True,95019.jpg
Cy Twombly,1954.0,abstract,600.0,472.0,259434.0,wikiart,Abstract Expressionism,Untitled  ,train_and_test,False,11477.jpg
Dan Christensen,1979.0,abstract,403.0,570.0,136906.0,wikiart,Abstract Expressionism,Untitled IV,train_and_test,True,26586.jpg
William Congdon,1967,landscape,944.0,739.0,62171.0,wikiart,Abstract Expressionism,"Luna 7, Subiaco",train_and_test,True,74200.jpg
Sam Francis,,abstract,379.0,570.0,250844.0,wikiart,Abstract Expressionism,Untitled (SF 357),train_and_test,True,39253.jpg
Hans Hofmann,1946,still life,385.0,520.0,46600.0,wikiart,Abstract Expressionism,The Mannequin,test_only,False,88832.jpg
Kazuo Nakamura,1954.0,abstract,658.0,508.0,513893.0,wikiart,Abstract Expressionism,Hillside,train_only,True,84661.jpg
Jack Tworkov,1964.0,abstract,608.0,480.0,272638.0,wikiart,Abstract Expressionism,June 21,train_and_test,True,97692.jpg
Jay DeFeo,1957,abstract,300.0,921.0,119049.0,wikiart,Abstract Expressionism,The Verónica,train_and_test,True,63690.jpg
William Congdon,1963,abstract,845.0,944.0,102024.0,wikiart,Abstract Expressionism,Subiaco,train_and_test,False,10048.jpg
Sam Francis,,abstract,481.0,570.0,316671.0,wikiart,Abstract Expressionism,Untitled (monotype with woodcut),train_and_test,True,13916.jpg
Jane Frank,1968.0,abstract,1400.0,1188.0,364137.0,wikiart,Abstract Expressionism,Frazer's Hog Cay #18,train_only,True,37659.jpg
Moshe Kupferman,1998,abstract,570.0,570.0,315375.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,99018.jpg
Moshe Kupferman,2003,abstract,466.0,570.0,231440.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,14254.jpg
Norman Bluhm,1964,abstract,427.0,570.0,273071.0,wikiart,Abstract Expressionism,Gronk!,train_and_test,True,57236.jpg
Helen Frankenthaler,1961,abstract,895.0,1024.0,88008.0,wikiart,Abstract Expressionism,Moving Day,train_and_test,True,75682.jpg
Taro Yamamoto,,abstract,615.0,500.0,129400.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,21534.jpg
Hans Hofmann,1947,abstract,424.0,640.0,220838.0,wikiart,Abstract Expressionism,The Third Hand,test_only,False,67210.jpg
Atsuko Tanaka,1984.0,abstract,640.0,479.0,329716.0,wikiart,Abstract Expressionism,Untitled,train_only,True,23259.jpg
Sam Francis,1979,abstract,526.0,620.0,204183.0,wikiart,Abstract Expressionism,Untitled (from Marginalia: Hommage to Shimizu),train_and_test,True,61615.jpg
Manabu Mabe,1985.0,abstract,1021.0,768.0,215535.0,wikiart,Abstract Expressionism,Age,train_only,True,15579.jpg
Helen Frankenthaler,1959,abstract,400.0,393.0,43262.0,wikiart,Abstract Expressionism,Acres,train_and_test,True,66418.jpg
Elaine de Kooning,1957,abstract,500.0,438.0,80587.0,wikiart,Abstract Expressionism,Sunday Afternoon ,train_only,True,81536.jpg
Blinky Palermo,1964.0,abstract,500.0,428.0,25874.0,wikiart,Abstract Expressionism,Komposition mit 8 roten Rechtecken (Composition with 8 Red Rectangles),train_and_test,True,15865.jpg
Perle Fine,1950,abstract,409.0,600.0,84246.0,wikiart,Abstract Expressionism,Plan for the White City,test_only,False,61341.jpg
Cy Twombly,1956.0,abstract,600.0,506.0,189801.0,wikiart,Abstract Expressionism,Untitled  ,train_and_test,True,7723.jpg
Atsuko Tanaka,1989.0,abstract,403.0,484.0,159718.0,wikiart,Abstract Expressionism,89m,train_only,True,70019.jpg
Sam Francis,1976,abstract,570.0,361.0,119657.0,wikiart,Abstract Expressionism,Untitled (SF76-175),train_and_test,True,83653.jpg
Philip Guston,,abstract,693.0,824.0,152411.0,wikiart,Abstract Expressionism,Clock,train_and_test,False,46076.jpg
Cy Twombly,2007.0,abstract,650.0,434.0,167863.0,wikiart,Abstract Expressionism,III Notes From Salalah (Note I),train_and_test,True,73990.jpg
Mark Tobey,1954,abstract,893.0,1326.0,256205.0,wikiart,Abstract Expressionism,Meditative Series VIII,train_only,True,58095.jpg
Cy Twombly,1957.0,abstract,600.0,472.0,139057.0,wikiart,Abstract Expressionism,Sunset,train_and_test,True,23869.jpg
Jack Tworkov,1961.0,abstract,594.0,480.0,122817.0,wikiart,Abstract Expressionism,Nightfall,train_and_test,True,87997.jpg
Jack Tworkov,1950.0,figurative,578.0,480.0,210374.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,21828.jpg
Theodoros Stamos,1947.0,abstract,346.0,480.0,157487.0,wikiart,Abstract Expressionism,Cyclops,train_and_test,False,98952.jpg
Avigdor Arikha,1957.0,abstract,444.0,570.0,205180.0,wikiart,Abstract Expressionism,Experience-Untitled,train_and_test,True,45218.jpg
Arthur Pinajian,1991,abstract,634.0,499.0,52305.0,wikiart,Abstract Expressionism,"Untitled Landscape, Bellport (No.1042)",train_and_test,False,25118.jpg
Philip Guston,1948,abstract,565.0,379.0,323650.0,wikiart,Abstract Expressionism,The Tormentors,train_and_test,True,54336.jpg
William Scott,1963,abstract,752.0,685.0,47246.0,wikiart,Abstract Expressionism,"Dark Brown, Orange and White",train_and_test,True,42113.jpg
Perle Fine,1959,abstract,502.0,362.0,29508.0,wikiart,Abstract Expressionism,Undisciplined Emotion I,test_only,False,96937.jpg
Gunther Forg,1997.0,abstract,530.0,397.0,131625.0,wikiart,Abstract Expressionism,Alba,test_only,False,57959.jpg
Jackson Pollock,1946.0,abstract,775.0,1139.0,236560.0,wikiart,Abstract Expressionism,The Tea Cup,train_and_test,True,32242.jpg
Hans Hofmann,1959,abstract,716.0,1168.0,113557.0,wikiart,Abstract Expressionism,Pompeii,test_only,False,89361.jpg
Hans Hofmann,1965,abstract,334.0,500.0,40102.0,wikiart,Abstract Expressionism,The Castle,test_only,False,70854.jpg
Betty Parsons,1980.0,abstract,648.0,302.0,87055.0,wikiart,Abstract Expressionism,Garden in Saint Denis ,train_and_test,False,92156.jpg
Sam Francis,1961,abstract,500.0,384.0,159427.0,wikiart,Abstract Expressionism," Hurrah for the Red, White, and Blue",train_and_test,True,9119.jpg
John Ferren,1955.0,abstract,350.0,480.0,81409.0,wikiart,Abstract Expressionism,Branches,train_and_test,True,22807.jpg
Helen Frankenthaler,1961,abstract,439.0,450.0,29776.0,wikiart,Abstract Expressionism,Blue Form in a Scene,train_and_test,False,37261.jpg
Theodoros Stamos,1949.0,abstract,376.0,480.0,100670.0,wikiart,Abstract Expressionism,Flight of the Spectre,train_and_test,True,46127.jpg
Mark Rothko,1948,abstract,700.0,584.0,120111.0,wikiart,Abstract Expressionism,Untitled,train_and_test,False,92568.jpg
Terry Frost,1956.0,abstract,376.0,1536.0,93670.0,wikiart,Abstract Expressionism,Leeds Landscape,train_and_test,False,14839.jpg
George Stefanescu-Ramnic ,1972,allegorical painting,663.0,800.0,605525.0,wikiart,Abstract Expressionism,Dance,train_and_test,True,29877.jpg
Jackson Pollock,,figurative,500.0,391.0,177101.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,43238.jpg
Sam Francis,1958,abstract,428.0,570.0,198678.0,wikiart,Abstract Expressionism,Japan Line Series No. 1 (Composition),train_and_test,True,33907.jpg
Jackson Pollock,1941.0,figurative,500.0,397.0,76112.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,519.jpg
Conrad Marca-Relli,,abstract,570.0,535.0,239084.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,22607.jpg
Richard Pousette-Dart,1989,abstract,478.0,480.0,122169.0,wikiart,Abstract Expressionism,Golden Door,train_and_test,True,44858.jpg
Edward Corbett,1950,abstract,500.0,606.0,47652.0,wikiart,Abstract Expressionism,Untitled (Black Painting),train_and_test,True,92575.jpg
Alexander Liberman,1977,abstract,367.0,480.0,191525.0,wikiart,Abstract Expressionism,Untitled Abstract,train_only,True,23317.jpg
Henri Matisse,1949,figurative,1536.0,1006.0,80637.0,wikiart,Abstract Expressionism,The Dancer,train_and_test,True,12064.jpg
Jack Tworkov,1977.0,abstract,483.0,480.0,152647.0,wikiart,Abstract Expressionism,Q1 75 S#2,train_and_test,False,74629.jpg
Perle Fine,1957,abstract,622.0,480.0,271990.0,wikiart,Abstract Expressionism,Untitled,test_only,False,80412.jpg
Jimmy Ernst,1956,abstract,958.0,768.0,77124.0,wikiart,Abstract Expressionism,Stillness,train_only,True,33226.jpg
Sam Francis,1981,abstract,500.0,570.0,290747.0,wikiart,Abstract Expressionism,Falling Star (L. L249) ,train_and_test,False,7267.jpg
Jack Tworkov,1949.0,abstract,570.0,570.0,318582.0,wikiart,Abstract Expressionism,Flowering White,train_and_test,True,85478.jpg
Betty Parsons,,abstract,335.0,527.0,61864.0,wikiart,Abstract Expressionism,Untitled,train_and_test,True,36969.jpg
Dan Christensen,1967.0,abstract,500.0,415.0,95449.0,wikiart,Abstract Expressionism,PR,train_and_test,True,89496.jpg
